Directed, Weakly Connected, Acyclic Graph
Tree (Undirected, Connected, Acyclic Graph)
Undirected, Connected, Cyclic Graph
Directed, Strongly Connected, Cyclic Graph
Directed, Unilaterally Connected, Acyclic Graph
Undirected, Strongly Connected, Cyclic Graph
Undirected, Disconnected, Cyclic Graph
Directed, Unilaterally Connected, Cyclic Graph
Undirected, Strongly Connected, Acyclic Graph
Tree (Undirected, Connected, Acyclic Graph)
Directed, Strongly Connected, Cyclic Graph
Undirected, Connected, Cyclic Graph
Directed, Strongly Connected, Cyclic Graph
Undirected, Connected, Cyclic Graph
Directed, Strongly Connected, Cyclic Graph
